Sr. No.,Track Name,Album Name,Artist Name,ISRC,UPC,Language,Label,Ad-Supported Streams,Subscription Streams,Jio-Trial Streams,Total Streams
206,Shri Krishna Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033658,612292246655,hindi,Ariha Audio,0,0,1,1
207,Hare Krishna Hare Rama,Sublime Bhajans Vol 7,Arijit Chakraborty,USDCH1032136,612292244118,hindi,Ariha Audio,0,0,17,17
208,Radhe Govinda Krishna,Sublime Bhajans Vol - 2,Trisha Parui,USDCH1024449,709586781524,hindi,Ariha Audio,0,0,22,22
209,Sarvesham Svastir Bhavatu,Sublime Bhajans Vol - 2,Minakshi mazumdar,USDCH1024450,709586781524,hindi,Ariha Audio,0,0,3,3
210,Shri Vighneshwar Suprabhatam,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036769,612292253448,hindi,Ariha Audio,0,0,4,4
211,Jaidev Jaidev,Sublime Bhajans,Arijit Chakraborty,USDCH1021722,711099368024,hindi,Ariha Audio,0,0,1,1
212,Ganpati Vandana,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032135,612292244118,hindi,Ariha Audio,0,0,2,2
213,Neer Bharan,Neer Bharan,"Devika, Noor Lodhi",USDCH1036429,612292253226,hindi,Faith Records,0,0,1,1
214,Meter Down,Meter Down,7Bantai'Z,USDCH1043567,630808427039,hindi,"Most Wanted Records, a division of Sippy Media LLP",0,0,148,148
215,Jaidev Jaidev,Sublime Bhajans Vol 6,Minakshi Majumdar,USDCH1032129,612292244101,hindi,Ariha Audio,0,0,1,1
216,Aaja Piya,Aaja Piya,"Devika, Holmes Ives",USDCH1011682,859707108027,hindi,Faith Records,0,0,3,3
217,Yaa Devi Sarva Bhuteshu,Sublime Bhajans Vol. 4,Nirmalya Roy,USDCH1032100,612292244040,hindi,Ariha Audio,0,0,1,1
218,Shri Krishna Sharanam Mamah,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033659,612292246655,hindi,Ariha Audio,0,0,12,12
219,Achyutam Keshavam,Sublime Bhajans,Trisha Parui,USDCH1021716,711099368024,hindi,Ariha Audio,0,0,4,4
220,Rog,Rog,Bohemia,CA5KR2079194,735119599717,punjabi,Desi Hip Hop Publishing Company,0,0,147,147
221,Gayatri Mantra,Sublime Bhajans,Madhura Banerjee,USDCH1021724,711099368024,hindi,Ariha Audio,0,0,20,20
222,Jai Madhav Madan Murari,Sublime Bhajans Vol - 2,Minakshi mazumdar,USDCH1024448,709586781524,hindi,Ariha Audio,0,0,4,4
223,Sri Krishna Ashtakam,Sublime Bhajans Vol - 9,Minakshi Majumdar,USDCH1036770,612292253448,hindi,Ariha Audio,0,0,8,8
224,Aish,Aish,Bohemia,CA5KR2035550,735119434346,punjabi,Desi Hip Hop Publishing Company,0,0,30,30
225,Maha Ganapathim Manasa,Sublime Bhajans Vol - 9,Minakshi Majumdar,USDCH1036767,612292253448,hindi,Ariha Audio,0,0,4,4
226,Salute,Salute,Bohemia,USDCH1500003,711099362732,punjabi,Desi Hip Hop Publishing Company,0,0,205,205
227,Hanuman Mantra,Sublime Bhajans Vol - 8,Disha Roy,USDCH1033646,612292246655,hindi,Ariha Audio,0,0,5,5
228,Mere To Giridhar Gopal,Sublime Bhajans,Trisha Parui,USDCH1021723,711099368024,hindi,Ariha Audio,0,0,18,18
229,Yaad Anah,Yaad Anah,Bohemia,USDCH1014743,700621799375,punjabi,Desi Hip Hop Publishing Company,0,0,30,30
230,Hey Bajrang Bali Hanuman,Sublime Bhajans Vol - 9,Dipjoy Sircar,USDCH1036765,612292253448,hindi,Ariha Audio,0,0,1,1
231,Mantra Pushpanjali,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032138,612292244118,hindi,Ariha Audio,0,0,3,3
232,Hanuman Bahuk,Sublime Bhajans Vol - 9,Dipjoy Sircar,USDCH1036763,612292253448,hindi,Ariha Audio,0,0,1,1
233,Hanuman Chalisa,Sublime Bhajans Vol - 9,Gourab Shome,USDCH1036764,612292253448,hindi,Ariha Audio,0,0,31,31
234,Aditya Hrudayam Stotram,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036760,612292253448,hindi,Ariha Audio,0,0,8,8
235,Annapurna Stotram,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036761,612292253448,hindi,Ariha Audio,0,0,3,3
236,Krishna Kanhaiya,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032085,612292244033,hindi,Ariha Audio,0,0,1,1
237,Shree Ram Jai Jai Ram Jai Jai Ram,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032142,612292244118,hindi,Ariha Audio,0,0,2,2
238,He Govind He Gopal,Sublime Bhajans Vol 6,Nirmalya Roy,USDCH1032128,612292244101,hindi,Ariha Audio,0,0,3,3
239,Shri Radha Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033661,612292246655,hindi,Ariha Audio,0,0,1,1
240,52 Gaj Ka Daman,52 Gaj Ka Daman,Renuka Panwar,INV772001001,630808426407,haryanvi,Desi Records,0,0,88105,88105
241,Gaiye Ganapati Jagvandan,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032133,612292244118,hindi,Ariha Audio,0,0,1,1
242,Madhurashtakam,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032137,612292244118,hindi,Ariha Audio,0,0,37,37
243,Nainam Chindanti,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032139,612292244118,hindi,Ariha Audio,0,0,15,15
244,Hanuman Chalisa,Sublime Bhajans,Madhura Banerjee,USDCH1021718,711099368024,hindi,Ariha Audio,0,0,7,7
245,Ganesha Pancharatnam,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032134,612292244118,hindi,Ariha Audio,0,0,1,1
246,Gayatri Sahasranama,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033643,612292246655,hindi,Ariha Audio,0,0,4,4
247,Shiva Suvarnamala Stuti,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032141,612292244118,hindi,Ariha Audio,0,0,34,34
248,Sandesa,Sandesa,Bohemia,USDCH1032126,612292244088,punjabi,Kali Denali Music,0,0,48,48
249,Guru Brahma,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032098,612292244033,hindi,Ariha Audio,0,0,4,4
250,Maa Durga Sahasranaam,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033650,612292246655,hindi,Ariha Audio,0,0,1,1
251,Shri Krishna Govinda,Sublime Bhajans Vol 6,Trisha Parui,USDCH1032131,612292244101,hindi,Ariha Audio,0,0,10,10
252,Maha Mritunjaya Mantra,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033651,612292246655,hindi,Ariha Audio,0,0,3,3
253,Jai Radha Madhav,Sublime Bhajans,Trisha Parui,USDCH1021721,711099368024,hindi,Ariha Audio,0,0,29,29
254,Shri Ganesh Amritwaani,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033656,612292246655,hindi,Ariha Audio,0,0,2,2
255,Govinda Bolo Hari Gopala,Sublime Bhajans,Madhura Banerjee,USDCH1021717,711099368024,hindi,Ariha Audio,0,0,22,22
256,Sri Ramachandra,Sublime Bhajans Vol 6,Arijit Chakraborty,USDCH1032132,612292244101,hindi,Ariha Audio,0,0,3,3
257,Shiva Aahvaan Mantra,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032140,612292244118,hindi,Ariha Audio,0,0,4,4
