id,Channel,Partner_Provided,UGC,Channel_id,Label,AssetChannelID,Label2,CMS,client_youtube_shares
880,Channel to be confirmed,Captainvideo,CaptainvideoUGC,Channel to be confirmed,CAP,Channel to be confirmed,CAP,ND Kids,30
881,channel to be confirmed,fountain,fountainugc,channel to be confirmed,fn1,channel to be confirmed,fn1,nd kids,30
882,Channel to be confirmed,TahirHussain,TahirHussainUGC,Channel to be confirmed,BLS,Channel to be confirmed,BLS,ND Kids,30
883,Channel to be confirmed,NHNew,NHNewUGC,Channel to be confirmed,NHSA,Channel to be confirmed,NHSA,ND Kids,30
884,Channel to be confirmed,HariOmCassettes,HariOmCassettesUGC,Channel to be confirmed,HOC,Channel to be confirmed,HOC,ND Kids,30
885,Channel to be confirmed,DawnPak,DawnPakUGC,Channel to be confirmed,DAWN,Channel to be confirmed,DAWN,ND Kids,30
886,KIRAN JATRA,RDC,RDCUGC,Mfw6EWFr7VU2JrkuF-b51Q,RDCJ,UCMfw6EWFr7VU2JrkuF-b51Q,RDCJ,ND Kids,30
887,Channel to be confirmed,NHNew,NHNewUGC,Channel to be confirmed,NHSD,Channel to be confirmed,NHSD,ND Kids,30
888,Channel to be confirmed,Dawsen,DawsenUGC,Channel to be confirmed,DW1,Channel to be confirmed,DW1,ND Kids,30
889,devikasmusic,Devikasmusic,DevikasmusicUGC,mtJ5nJ7frQm4ZdORISVqbw,DEV,UCmtJ5nJ7frQm4ZdORISVqbw,DEV,ND Kids,30
890,Channel to be confirmed,WingsEnt,WingsEntUGC,Channel to be confirmed,WIN,Channel to be confirmed,WIN,ND Kids,30
891,Enterr10 Bangla,Enter10-Bangla,Enter10-BanglaUGC,4_ot3DUs7i0tCj2uwZrG6A,ENT10B,UC4_ot3DUs7i0tCj2uwZrG6A,ENT10B,ND Kids,30
892,Channel to be confirmed,Automotivexone,AutomotivexoneUGC,Channel to be confirmed,AUT,Channel to be confirmed,AUT,ND Kids,30
893,Channel to be confirmed,DigizenV3yoga,DigizenV3yogaUGC,Channel to be confirmed,V3YOG,Channel to be confirmed,V3YOG,ND Kids,30
894,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHARK,Channel to be confirmed,MMARIHARK,ND Kids,30
895,Channel to be confirmed,DivoTV,DivoTVUGC,Channel to be confirmed,KOS,Channel to be confirmed,KOS,ND Kids,30
896,Channel to be confirmed,ChetanThakkar,ChetanThakkarUGC,Channel to be confirmed,CIP,Channel to be confirmed,CIP,ND Kids,30
897,MaitriBodh Parivaar,MaitriBodh,MaitriBodhUGC,GYolLzoDug1De15prkupIA,MBP,UCGYolLzoDug1De15prkupIA,MBP,ND Kids,30
898,SOCIAL BANDA,AjayYadav,AjayYadavUGC,fcGMlIeZHqVA0txrF5wqnA,AJY,UCfcGMlIeZHqVA0txrF5wqnA,AJY,ND Kids,30
899,PatentYogi,SearchPrecise,SearchPreciseUGC,_b3p6ISMj_txO90uM0c5Qg,SPC,UC_b3p6ISMj_txO90uM0c5Qg,SPC,ND Kids,30
