id,Channel,partner_provided,ugc,Channel_id,Label,assetChannelID,Label2,CMS,client_youtube_shares
3196,Channel to be confirmed,EmpowerBollywood,EmpowerBollywoodUGC,Channel to be confirmed,EMTV,Channel to be confirmed,EMTV,ND Music,30
3197,Channel to be confirmed,FunOnGo,FunOnGoUGC,Channel to be confirmed,FOG,Channel to be confirmed,FOG,ND Music,30
3198,Channel to be confirmed,JotyKay,JotyKayUGC,Channel to be confirmed,JKW,Channel to be confirmed,JKW,ND Music,30
3199,Channel to be confirmed,KavitaShah,KavitaShahUGC,Channel to be confirmed,KTK,Channel to be confirmed,KTK,ND Music,30
3200,Channel to be confirmed,LeenaJay,LeenaJayUGC,Channel to be confirmed,LJAY,Channel to be confirmed,LJAY,ND Music,30
3201,Channel to be confirmed,MahmoodMatloob3,MahmoodMatloob3UGC,Channel to be confirmed,NFAK,Channel to be confirmed,NFAK,ND Music,30
3202,Channel to be confirmed,NikhilDhomkar,NikhilDhomkarUGC,Channel to be confirmed,NIDH,Channel to be confirmed,NIDH,ND Music,30
3203,Channel to be confirmed,RadhikaFilms,RadhikaFilmsUGC,Channel to be confirmed,RADF,Channel to be confirmed,RADF,ND Music,30
3204,Channel to be confirmed,SanchitAgnihotri,SanchitAgnihotriUGC,Channel to be confirmed,SAH,Channel to be confirmed,SAH,ND Music,30
3205,Channel to be confirmed,MechExp,MechExpUGC,Channel to be confirmed,SHANK,Channel to be confirmed,SHANK,ND Music,30
3206,Channel to be confirmed,SuneetVarma,SuneetVarmaUGC,Channel to be confirmed,SUNV,Channel to be confirmed,SUNV,ND Music,30
3207,Channel to be confirmed,DalvinderKumar,DalvinderKumarUGC,Channel to be confirmed,DLK,Channel to be confirmed,DLK,ND Music,30
3208,Channel to be confirmed,Marsorbit,MarsorbitUGC,Channel to be confirmed,MARS,Channel to be confirmed,MARS,ND Music,30
3209,Channel to be confirmed,TNDM-Rakesh,TNDM-RakeshUGC,Channel to be confirmed,TNDMR,Channel to be confirmed,TNDMR,ND Music,30
3210,channel to be confirmed,marsorbit,marsorbitugc,channel to be confirmed,MARS,channel to be confirmed,MARS,nd music,30
3211,Channel to be confirmed,TNA,TNAUGC,Channel to be confirmed,TNA,Channel to be confirmed,TNA,ND Music,30
3212,Channel to be confirmed,Galaxy,GalaxyUGC,Channel to be confirmed,GDPL,Channel to be confirmed,GDPL,ND Music,30
3213,Channel to be confirmed,RichInt,RichIntUGC,Channel to be confirmed,RICH,Channel to be confirmed,RICH,ND Music,30
3214,Channel to be confirmed,GirjeshGupta,GirjeshGuptaUGC,Channel to be confirmed,GGG,Channel to be confirmed,GGG,ND Music,30
3215,Channel to be confirmed,NautankiSamrat,NautankiSamratUGC,Channel to be confirmed,TYAGINS,Channel to be confirmed,TYAGINS,ND Music,30
3216,Channel to be confirmed,TNDM-1,TNDM-1UGC,Channel to be confirmed,TNDM1,Channel to be confirmed,TNDM1,ND Music,30
3217,Channel to be confirmed,TNDM-5,TNDM-5UGC,Channel to be confirmed,TNDM5,Channel to be confirmed,TNDM5,ND Music,30
3218,Channel to be confirmed,AnitaFilms,AnitaFilmsUGC,Channel to be confirmed,ANF,Channel to be confirmed,ANF,ND Music,30
3219,Channel to be confirmed,TNDM-4,TNDM-4UGC,Channel to be confirmed,TNDM4,Channel to be confirmed,TNDM4,ND Music,30
3220,Channel to be confirmed,DigiOsmosis,DigiOsmosisUGC,Channel to be confirmed,DIGI,Channel to be confirmed,DIGI,ND Music,30
3221,Channel to be confirmed,JustinHunte,JustinHunteUGC,Channel to be confirmed,TCM,Channel to be confirmed,TCM,ND Music,30
3222,Channel to be confirmed,DigiOsmosis,DigiOsmosisUGC,Channel to be confirmed,DIGIIST,Channel to be confirmed,DIGIIST,ND Music,30
