Video Claim Raw Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Type,Country,Day,Video ID,Video Channel ID,Asset ID,Asset Channel ID,Asset Title,Asset Labels,Asset Type,Custom ID,ISRC,UPC,GRID,Artist,Album,Label,Claim Type,Content Type,Offer,Owned Views,Monetized Views : Audio,Monetized Views : Audio Visual,Monetized Views,YouTube Revenue Split,Partner Revenue : Pro Rata,Partner Revenue : Per Sub Min,Partner Revenue
None,AE,20210201,3FUTVgPHkyQ,WG3OZsEuso7ZFgF03vPd1w,A907469125664506,WG3OZsEuso7ZFgF03vPd1w,Dard Bhari Ghazal,VMPL,Music Video,3FUTVgPHkyQ,,,,,,,Audio-Visual,Partner-provided,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,3XT6q-QbngQ,BGGy7tg0F1o8bwb4hsGaqA,A401117627971589,BGGy7tg0F1o8bwb4hsGaqA,Bullet,,Art Track,INS3I1900081,INS3I1900081,8.71886E+12,,Mangli,,Silly Monks Music,Audio-Visual,Partner-provided,YouTube Premium Individual monthly,1,1,0,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,3wRMEvuGfcQ,zDQlBj-45fCf5g5U3B0YZQ,A268603494914315,,Ve Gujjra Veh.,RIC,Sound Recording,USDCH1033257,USDCH1033257,6.12292E+11,,Various Artists,Gabru Punjab,T.R.C. Studios,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.001096,0.000603,0.001297,0.001297
None,AE,20210201,418fL3ZtnlM,r5MOkWFFbs_y_jChDncIXw,A141176129498698,,Free Hope On Earth,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001010,INV772001010,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,45zyUYZLnZ0,QykmY_D6_NvG0OM8gkbtUg,A222612580076732,,Biscuit Duba Ke,ENT10,Sound Recording,USDCH1040601,USDCH1040601,6.44825E+11,,"Khesari Lal Yadav, Priyanka Singh",Bhag Khesari Bhag,Enterr10 Music Bhojpuri,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.002466,0.001357,0.002919,0.002919
None,AE,20210201,45zyUYZLnZ0,QykmY_D6_NvG0OM8gkbtUg,A803085124698915,,Mhari Dhani,NDJ,Sound Recording,INV581811200,INV581811200,1.91766E+11,,"TR, Anu Kadyan",Mhari Dhani,NDJ Music,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.002466,0.001357,0.002919,0.002919
None,AE,20210201,4KavFqkDYGg,#NAME?,A517657550745120,,Future Wife,BEY,Sound Recording,USDCH1041447,USDCH1041447,6.30808E+11,,Arbaz Khan,Future Wife,Beyond Records,Audio,UGC,YouTube Premium Family monthly,1,0,1,1,0.001349,0.000742,0.00161,0.00161
None,AE,20210201,4L8ANOgQFr0,0xBMgmf2IgY7N1UFDsPNvA,A375808995321300,,Mera Esa Button Dabade,"CC_EXCLUSION_DISTRIBUTOR_ONLY,RIC",Sound Recording,USDCH1033242,USDCH1033242,6.12292E+11,,Various Artists,Foja Amritsaria,T.R.C. Studios,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.003699,0.002037,0.004382,0.004382
None,AE,20210201,4SYZZF-aGzM,tqmzLrADS3GS1M2q0wjB0w,A626353037027333,,Ultrabeam Instinct,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001011,INV772001011,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Individual monthly,5,0,5,5,0.046032,0.025325,0.054473,0.054473
None,AE,20210201,4SYZZF-aGzM,tqmzLrADS3GS1M2q0wjB0w,A626353037027333,,Ultrabeam Instinct,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001011,INV772001011,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Family monthly,3,1,2,3,0.013486,0.00742,0.016095,0.016095
None,AE,20210201,4SYZZF-aGzM,tqmzLrADS3GS1M2q0wjB0w,A626353037027333,,Ultrabeam Instinct,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001011,INV772001011,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Music Individual monthly,1,0,1,1,0.004129,0.002271,0.002388,0.002388
None,AE,20210201,4TNqyD65xrY,SrlEb-C4b337zohrClwKZw,A375808995321300,,Mera Esa Button Dabade,"CC_EXCLUSION_DISTRIBUTOR_ONLY,RIC",Sound Recording,USDCH1033242,USDCH1033242,6.12292E+11,,Various Artists,Foja Amritsaria,T.R.C. Studios,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.004932,0.002713,0.005836,0.005836
None,AE,20210201,4i-VeVnJEzg,HFuqoKrMoSnSpD9Gdzi6Vw,A235442240148937,,Dosra Se Nehiy Laga Lele Badu,"CC_EXCLUSION_DISTRIBUTOR_ONLY,TAH",Sound Recording,USDCH1034579,USDCH1034579,6.12292E+11,,Ritesh Ojha,Ara Jila Wala Bhatar Mangele,Divya Music,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,4iigs0er4SM,MJ6gBzIHz4Nu_kODIJmD6g,A869418011642331,,Midnight Wonder Superstar,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001006,INV772001006,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Individual monthly,1,1,0,1,0.004932,0.002713,0.005836,0.005836
None,AE,20210201,4oiYZ3ra-zw,WvVTaiar5rUjcFiylCMTog,A502531858204554,,Tera Nasha,"BIL,CC_EXCLUSION_DISTRIBUTOR_ONLY",Sound Recording,USDCH1041752,USDCH1041752,6.30808E+11,,The Bilz & Kashif,Breaking Barriers,Bilz Music,Audio,UGC,YouTube Premium Family monthly,1,0,1,1,0.001686,0.000928,0.002013,0.002013
None,AE,20210201,511tlotA1Co,y9Td1yEiJxbK2AljjAvZFw,A363227030162678,,Rabbaa Main Kya Karoon,VCOI,Sound Recording,INV772001003,INV772001003,6.30808E+11,,"Dev Chugh, Arjun Sharma",Rabbaa Main Kya Karoon,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000988,0.000544,0.00117,0.00117
None,AE,20210201,511tlotA1Co,y9Td1yEiJxbK2AljjAvZFw,A450579524351227,,52 Gajh Ka Daman,VCOI,Sound Recording,INV772001001,INV772001001,6.30808E+11,,"Renuka Panwar, MJ",52 Gajh Ka Daman,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000988,0.000544,0.00117,0.00117
None,AE,20210201,511tlotA1Co,y9Td1yEiJxbK2AljjAvZFw,A672902708669822,,Pyar Naal Rakhein,VCOI,Sound Recording,INV772001005,INV772001005,6.30808E+11,,"Aalam Singh, Arjun Sharma",Pyar Naal Rakhein,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000988,0.000544,0.00117,0.00117
None,AE,20210201,511tlotA1Co,y9Td1yEiJxbK2AljjAvZFw,A990519850667017,,Yaara Ve Yaara,VCOI,Sound Recording,INV772001004,INV772001004,6.30808E+11,,"Vineet Gaba, Arjun Sharma",Yaara Ve Yaara,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000988,0.000544,0.00117,0.00117
None,AE,20210201,52ElwgNEjYE,dsgnTGjq69wpOzPnqNuebA,A754107787645060,,Chatak Matak,TNDMBKT,Sound Recording,INT502012314,INT502012314,5.05955E+12,,"Renuka Panwar, Sapna Choudhary",Chatak Matak,Vats Records,Audio,UGC,YouTube Music Individual monthly,1,0,1,1,0.012387,0.006813,0.007165,0.007165
None,AE,20210201,53PE64qnjUE,ge14a6mRmfW6tPD4mGeVAw,A626353037027333,,Ultrabeam Instinct,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001011,INV772001011,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,5GZf-UvLSdk,y9Td1yEiJxbK2AljjAvZFw,A244244887435130,,Purani Ishq Kahani,VCOI,Sound Recording,INV772001014,INV772001014,6.16968E+11,,Vikram Kohlewala,Purani Ishq Kahani,Jhankar Musicals Studio,Audio,UGC,YouTube Premium Individual monthly,1,1,0,1,0.000429,0.000236,0.000508,0.000508
None,AE,20210201,5GZf-UvLSdk,y9Td1yEiJxbK2AljjAvZFw,A244244887435130,,Purani Ishq Kahani,VCOI,Sound Recording,INV772001014,INV772001014,6.16968E+11,,Vikram Kohlewala,Purani Ishq Kahani,Jhankar Musicals Studio,Audio,UGC,YouTube Premium Family monthly,1,0,1,1,0.000294,0.000162,0.000351,0.000351
None,AE,20210201,5GZf-UvLSdk,y9Td1yEiJxbK2AljjAvZFw,A450579524351227,,52 Gajh Ka Daman,VCOI,Sound Recording,INV772001001,INV772001001,6.30808E+11,,"Renuka Panwar, MJ",52 Gajh Ka Daman,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,1,0,1,0.000429,0.000236,0.000508,0.000508
None,AE,20210201,5GZf-UvLSdk,y9Td1yEiJxbK2AljjAvZFw,A450579524351227,,52 Gajh Ka Daman,VCOI,Sound Recording,INV772001001,INV772001001,6.30808E+11,,"Renuka Panwar, MJ",52 Gajh Ka Daman,Desi Records,Audio,UGC,YouTube Premium Family monthly,1,0,1,1,0.000294,0.000162,0.000351,0.000351
None,AE,20210201,5GZf-UvLSdk,y9Td1yEiJxbK2AljjAvZFw,A603177631890547,,Eye Liner,VCOI,Sound Recording,INV772001017,INV772001017,6.16968E+11,,Harsh Virk,Eye Liner,Jhankar Musicals Studio,Audio,UGC,YouTube Premium Individual monthly,1,1,0,1,0.000429,0.000236,0.000508,0.000508
